Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Yong Li|Beijing University of Posts and Telecommunications!!!Cyber-physical electrical energy systems: challenges and issues*@*A Simplified Co-Simulation Model to Investigate Impacts of Cyber-Contingency on Power System*@*Model predictive control considering cyber-physical system to dampen low frequency oscillation of interconnected power systems*@*Adaptive resource management in PaaS platform using Feedback Control LRU algorithm*@*Social-Aware Resource Allocation for Device-to-Device Communications Underlaying Cellular Networks*@*Social-Aware Peer Discovery for D2D Communications Underlaying Cellular Networks*@*Open access strategy in cloud computing-based heterogenous networks constrained by wireless fronthaul*@*Co-location social networks: Linking the physical world and cyberspace*@*Social-Community-Aware Long-Range Link Establishment for Multihop D2D Communication Networks*@*Time Dependent Pricing for Large-scale Mobile Networks of Urban Environment: Feasibility and Adaptability*@*Adaptive Lookup of Open WiFi Using Crowdsensing*@*Social community aware long-range link establishment for multi-hop D2D communication networks*@*Adaptive Lookup of Open WiFi Using Crowdsensing*@*Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach*@*Social-Community-Aware Resource Allocation for D2D Communications Underlaying Cellular Networks
Zhihua Feng|None!!!Relationship Privacy Protection for Mobile Social Network
Xiyuan Peng|None!!!Demo Abstract: Towards a Wireless Building Management System with Minimum Change to the Building Protocols*@*WiP abstract: A framework on profiling cross-domain noise propagation in control CPS
Feng Lu|Huazhong University of Science and Technology!!!Mining user check-in features for location classification in location-based social networks*@*Concurrent Transmission Method for Mobile Applications using Multihoming Devices
Desheng Liu|None!!!CIDE: An Integrated Development Environment for Microservices
Qiu Qin|Xi'an Jiaotong University!!!An agent-based approach for crowd dynamics simulation
Aiping Li|National University of Defense Technology!!!Synergistic partitioning in multiple large scale social networks
Xiaochen Liu|None!!!Optimal Design for Cloud Infrastructure in Multi-layer Service Computing Environment*@*Optimal Service Selection Based on Business for Cloud Computing
Weilong Cui|None!!!Intersection foreground detection based on the Cyber-Physical Systems
Wei Mao|None!!!Federation framework for service discovery in ubiquitous computing
Jin-Xing Hao|BeiHang University!!!Mapping smart tourism research in China: A semantic and social network analysis using CiteSpace
Fangming Shao|East China University of Science and Technology!!!Cascading Failures on Reliability in Cyber-Physical System
Zongsheng Lai|None!!!A single-chip UHF RFID reader transceiver for mobile applications
Jinsheng Xie|University of Science and Technology of China!!!The detection of unusual events in video based on Bayesian surprise model
Hongjiang He|None!!!An integrated Medical CPS for early detection of paroxysmal sympathetic hyperactivity
Purui Su|None!!!Automated User Profiling in Location-Based Mobile Messaging Applications
Liu Zhaodi|Beijing University of Posts and Telecommunications!!!Coordinating the cloud computing service supply chain under asymmetric demand information with quantity discount contract
Zechen Zhang|National University of Defense Technology!!!A secure and reliable coding scheme over wireless links in cyber-physical systems
Peng Bai|Air Force Engineering University!!!Application of mobile Bluetooth based on human physiological parameters wireless sensor
Tingyuan Luan|None!!!A distributed task scheduling strategy for massive mobile application security detection
Taotao Wu|Nanjing University!!!Service Mining for Trusted Service Composition in Cross-Cloud Environment*@*An Adaptive Cloudlet Placement Method for Mobile Applications over GPS Big Data
Rui Hu|None!!!Adaptive resource management in PaaS platform using Feedback Control LRU algorithm
Zhenqiu Huang|None!!!Two-phase graph search algorithm for QoS-aware automatic service composition
Yini Zhang|None!!!Diffusion Dynamics in Structured Online Social Networks with Push-Based Forwarding Mechanism*@*Impact of Structure Balance on Opinion Spreading in Signed Social Networks
Zhoujun Li|None!!!Microarray Biclustering with Crowding Based MOACO*@*A Simple Effective Scheme to Enhance the Capability of Web Servers Using P2P Networks*@*Microarray Data Biclustering with Multi-objective Immune Optimization Algorithm
Sun Yu|None!!!Mobile Crowd Sensing for Internet of Things: A Credible Crowdsourcing Model in Mobile-Sense Service*@*Mobile Crowd Sensing for Internet of Things: A Credible Crowdsourcing Model in Mobile-Sense Service*@*Mobile Crowd Sensing for Internet of Things: A Credible Crowdsourcing Model in Mobile-Sense Service
Shan Liu|Communication University of China!!!A Framework for Modeling Cyber-Physical Switching Attacks in Smart Grid*@*Research on visualization of communication network in social topic*@*A Coordinated Multi-Switch Attack for Cascading Failures in Smart Grid
Jiahao Liu|None!!!Community Detection in Location-Based Social Networks: An Entropy-Based Approach
Wen Zhang|None!!!Heterogeneous Network Analysis of Developer Contribution in Bug Repositories
Zhong-Qun Wang|None!!!Fault-Tolerance Research for Mobile Component Application Based on Checkpointing
Qixin Liu|None!!!Multi-domain cloud social network service platform supporting online collaborations on campus
Yi Tang|Southeast University!!!A framework of theoretical research on load control in grid cyber physical system*@*Challenge and evolution of cyber attacks in Cyber Physical Power System
Yanbo Han|North China University of Technology!!!Interactive Recommendation of Composition Operators for Situational Data Integration*@*A User-Relationship-Based Cache Replacement Strategy for Mobile Social Network*@*Data Services for Carpooling Based on Large-Scale Traffic Data Analysis*@*Stream-oriented Availability Services for Endpoint-to-endpoint Data Transmission*@*A Service-Friendly Approach to Discover Traveling Companions Based on ANPR Data Stream*@*A Dataflow-Pattern-Based Recommendation Framework for Data Service Mashup
Xiaoling Sun|None!!!Detecting Ambiguous Author Names in Crowdsourced Scholarly Data
Qiang Fu|None!!!Notice of Violation of IEEE Publication PrinciplesEnergy Efficient Mobile Cloud Computing and Its Applications*@*Energy Efficient Mobile Cloud Computing and its Applications
Wujian Yang|None!!!Application of Voice Recognition for Mobile E-Commerce Security
Liu Yanfang|Harbin Normal University!!!A study of chinese culture consumption based on co-words analysis and social network
Yan Yu|Renmin University of China!!!Mapping smart tourism research in China: A semantic and social network analysis using CiteSpace*@*Role analysis of social network users based on neighborhood dissemination capability
Pengfei Liu|The Chinese University of Hong Kong!!!Defense against sybil attacks in directed social networks*@*mENUNCIATE: Development of a computer-aided pronunciation training system on a cross-platform framework for mobile, speech-enabled application development*@*A Complex Virtual Screening Computing Platform Based on SOA
Longfei Li|None!!!A VM-friendly NIC architecture for cloud computing
Weifeng Lv|None!!!A Distributed Location Based Service Framework of Ubiquitous Computing
Wei Tang|None!!!Power-Aware Cloud Computing Infrastructure for Latency-Sensitive Internet-of-Things Services
Jianfang Li|None!!!A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling*@*A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling
Xiaoying Zhang|Renmin University of China!!!Publish me and protect me: Personalized and flexible location privacy protection in mobile social networks
Yi Chen|Huazhong Normal University!!!Adaptive service allocation in networking and Cloud computing
Han Yiliang|Engineering University of APF!!!The Revocable Attribute Based Encryption Scheme for Social Networks*@*Attribute based generalized signcryption for online social network
Xiaowei Liu|None!!!A Cleanroom Monitoring System for Network Computing Service Based on Remote Attestation
Yisong Chang|None!!!Titian2: A Scalable System-Level Emulator with All Programmability for Datacenter Servers in Cloud Computing
Zhuang Wei|Tongji University!!!CPS based relay protection system for underground coalmine distribution networks
Luofen Wang|Institute of Electromagnetic of Southwest Jiaotong University!!!An internal hexa-band antenna for 4G mobile phone application
Yuan Gao|None!!!Real Time Cache Performance Analyzing for Multi-core Parallel Programs
Ping Zhong|HanShan Normal University!!!Research on the application of M-Learning based on intelligent mobile devices
Xiaolin Li|None!!!Design of a panorama parking system based on DM6437
Zhenyu Chen|None!!!Guiding the Crowds for Android Testing
Gang Sun|University of Electronic Science and Technology of China!!!Optimal provisioning for elastic service oriented virtual network request in cloud computing*@*Live Migration for Multiple Correlated Virtual Machines in Cloud-based Data Centers
Li Jin|None!!!Detecting Cruising Flagged Taxis' Passenger-Refusal Behaviors Using Traffic Data and Crowdsourcing*@*Detecting Cruising Flagged Taxis' Passenger-Refusal Behaviors Using Traffic Data and Crowdsourcing
Can Zhao|None!!!Multi-domain cloud social network service platform supporting online collaborations on campus
Xiaolin Lu|Zhejiang University of Science and Technology!!!Service and cloud computing oriented web GIS for labor and social security applications*@*An Approach to Service and Cloud Computing Oriented Web GIS Application
Qiao Sun|Shanghai Jiaotong University!!!An online gait planner of hexapod robot to safely pass through crowded environment based on tactile sense and virtual dynamic model
Gaoxiang Wu|Nanjing University of Science and Technology!!!Capturing and characterizing network actions of mobile applications for behavior consistency
Shijie Jia|Luoyang Normal University!!!Modeling and optimization of bandwidth supply performance for cloud-assisted video systems under flash crowd
Junxia Guo|Beijing University of Chemical Technology!!!Observing the evolution of social network on Weibo by sampled data
Zhaokun Qin|None!!!NoiseSense: A Crowd Sensing System for Urban Noise Mapping Service*@*NoiseSense: A Crowd Sensing System for Urban Noise Mapping Service
Geng Zhang|Chongqing University!!!A traffic congestion control method in the cyber physical systems
Runze Wan|Hubei University of Education!!!PFO: Priority-based flow scheduling for online social network datacenter
Lingyun Ying|None!!!Automated User Profiling in Location-Based Mobile Messaging Applications
Lei Xiaohui|None!!!Parallelization and Performance Test to Multiple Objective Particle Swarm Optimization Algorithm
Chang-Jyun Hu|University of Science and Technology Beijing!!!From RBAC to ABAC: Constructing Flexible Data Access Control for Cloud Storage Services
Yuan Zeng|Tianjin University!!!A risk assessment method for cascading failure caused by electric cyber-physical system (ECPS)*@*Risk assessment of power grid considering the reliability of the information system
